timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1620505151228,1708150,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-32,text,false,,2667,0,100,100,http://34.71.253.86/yelpdata/elite/2010,0,0,53
1620505151350,1708022,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-44,text,false,,2667,0,100,100,http://34.71.253.86/yelpdata/elite/2010,0,0,59
1620505151606,1707769,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-70,text,false,,2667,0,100,100,http://34.71.253.86/yelpdata/elite/2010,0,0,56
1620505151569,1707803,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-66,text,false,,2667,0,100,100,http://34.71.253.86/yelpdata/elite/2010,0,0,55
1620505151707,1707672,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-80,text,false,,2667,0,100,100,http://34.71.253.86/yelpdata/elite/2010,0,0,57
1620505151769,1707606,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-86,text,false,,2667,0,100,100,http://34.71.253.86/yelpdata/elite/2010,0,0,59
1620505151149,1708227,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-24,text,false,,2667,0,100,100,http://34.71.253.86/yelpdata/elite/2010,0,0,53
1620505151409,1707965,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-50,text,false,,2667,0,100,100,http://34.71.253.86/yelpdata/elite/2010,0,0,55
1620505150989,1708384,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-8,text,false,,2667,0,100,100,http://34.71.253.86/yelpdata/elite/2010,0,0,56
1620505151180,1708194,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-27,text,false,,2667,0,100,100,http://34.71.253.86/yelpdata/elite/2010,0,0,57
1620505151649,1707729,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-74,text,false,,2667,0,100,100,http://34.71.253.86/yelpdata/elite/2010,0,0,56
