timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1620546762463,1411,HTTP Request,200,,Thread Group 1-145,text,true,,10187,134,500,500,http://35.223.214.30/yelpdata/elite/2010,1410,0,60
1620546762261,1668,HTTP Request,200,,Thread Group 1-43,text,true,,10187,134,499,499,http://35.223.214.30/yelpdata/elite/2010,1667,0,57
1620546762191,1747,HTTP Request,200,,Thread Group 1-9,text,true,,10187,134,498,498,http://35.223.214.30/yelpdata/elite/2010,1746,0,57
1620546762208,1828,HTTP Request,200,,Thread Group 1-18,text,true,,10187,134,497,497,http://35.223.214.30/yelpdata/elite/2010,1824,0,55
1620546762234,2132,HTTP Request,200,,Thread Group 1-30,text,true,,10187,134,496,496,http://35.223.214.30/yelpdata/elite/2010,2128,0,58
1620546762289,2203,HTTP Request,200,,Thread Group 1-57,text,true,,10187,134,495,495,http://35.223.214.30/yelpdata/elite/2010,2201,0,55
1620546762372,2386,HTTP Request,200,,Thread Group 1-100,text,true,,10187,134,494,494,http://35.223.214.30/yelpdata/elite/2010,2382,0,63
1620546762225,2962,HTTP Request,200,,Thread Group 1-25,text,true,,10187,134,493,493,http://35.223.214.30/yelpdata/elite/2010,2962,0,57
1620546762250,2937,HTTP Request,200,,Thread Group 1-38,text,true,,10187,134,493,493,http://35.223.214.30/yelpdata/elite/2010,2937,0,57
1620546762194,3093,HTTP Request,200,,Thread Group 1-10,text,true,,10187,134,491,491,http://35.223.214.30/yelpdata/elite/2010,3088,0,58
1620546762437,2879,HTTP Request,200,,Thread Group 1-131,text,true,,10187,134,490,490,http://35.223.214.30/yelpdata/elite/2010,2878,0,67
1620546762174,3264,HTTP Request,200,,Thread Group 1-1,text,true,,10187,134,489,489,http://35.223.214.30/yelpdata/elite/2010,3262,0,60
1620546762351,3087,HTTP Request,200,,Thread Group 1-89,text,true,,10187,134,489,489,http://35.223.214.30/yelpdata/elite/2010,3087,0,61
1620546762182,3422,HTTP Request,200,,Thread Group 1-5,text,true,,10187,134,487,487,http://35.223.214.30/yelpdata/elite/2010,3421,0,56
1620546762469,3135,HTTP Request,200,,Thread Group 1-146,text,true,,10187,134,487,487,http://35.223.214.30/yelpdata/elite/2010,3135,0,54
1620546762305,3315,HTTP Request,200,,Thread Group 1-65,text,true,,10187,134,485,485,http://35.223.214.30/yelpdata/elite/2010,3315,0,51
1620546762199,3553,HTTP Request,200,,Thread Group 1-14,text,true,,10187,134,484,484,http://35.223.214.30/yelpdata/elite/2010,3541,0,59
1620546762180,3572,HTTP Request,200,,Thread Group 1-4,text,true,,10187,134,484,484,http://35.223.214.30/yelpdata/elite/2010,3555,0,56
1620546762177,3627,HTTP Request,200,,Thread Group 1-3,text,true,,10187,134,482,482,http://35.223.214.30/yelpdata/elite/2010,3617,0,58
1620546762186,3620,HTTP Request,200,,Thread Group 1-7,text,true,,10187,134,481,481,http://35.223.214.30/yelpdata/elite/2010,3618,0,63
1620546762218,3588,HTTP Request,200,,Thread Group 1-22,text,true,,10187,134,480,480,http://35.223.214.30/yelpdata/elite/2010,3588,0,53
1620546762203,3630,HTTP Request,200,,Thread Group 1-16,text,true,,10187,134,479,479,http://35.223.214.30/yelpdata/elite/2010,3628,0,58
1620546762197,3716,HTTP Request,200,,Thread Group 1-13,text,true,,10187,134,478,478,http://35.223.214.30/yelpdata/elite/2010,3713,0,55
1620546762209,3798,HTTP Request,200,,Thread Group 1-19,text,true,,10187,134,477,477,http://35.223.214.30/yelpdata/elite/2010,3795,0,59
1620546762363,3731,HTTP Request,200,,Thread Group 1-94,text,true,,10187,134,476,476,http://35.223.214.30/yelpdata/elite/2010,3725,0,54
1620546762188,3939,HTTP Request,200,,Thread Group 1-8,text,true,,10187,134,475,475,http://35.223.214.30/yelpdata/elite/2010,3924,0,61
1620546762250,3958,HTTP Request,200,,Thread Group 1-37,text,true,,10187,134,474,474,http://35.223.214.30/yelpdata/elite/2010,3957,0,57
1620546762218,4013,HTTP Request,200,,Thread Group 1-23,text,true,,10187,134,473,473,http://35.223.214.30/yelpdata/elite/2010,4013,0,55
1620546762240,4008,HTTP Request,200,,Thread Group 1-34,text,true,,10187,134,472,472,http://35.223.214.30/yelpdata/elite/2010,4004,0,58
1620546762253,3997,HTTP Request,200,,Thread Group 1-40,text,true,,10187,134,471,471,http://35.223.214.30/yelpdata/elite/2010,3995,0,58
1620546762235,4018,HTTP Request,200,,Thread Group 1-32,text,true,,10187,134,470,470,http://35.223.214.30/yelpdata/elite/2010,4015,0,57
1620546762476,3823,HTTP Request,200,,Thread Group 1-150,text,true,,10187,134,469,469,http://35.223.214.30/yelpdata/elite/2010,3818,0,52
1620546762266,4036,HTTP Request,200,,Thread Group 1-47,text,true,,10187,134,468,468,http://35.223.214.30/yelpdata/elite/2010,4033,0,52
1620546762332,3971,HTTP Request,200,,Thread Group 1-79,text,true,,10187,134,467,467,http://35.223.214.30/yelpdata/elite/2010,3970,0,68
1620546762196,4148,HTTP Request,200,,Thread Group 1-11,text,true,,10187,134,466,466,http://35.223.214.30/yelpdata/elite/2010,4144,0,58
1620546762239,4173,HTTP Request,200,,Thread Group 1-33,text,true,,10187,134,465,465,http://35.223.214.30/yelpdata/elite/2010,4169,0,59
1620546762196,4257,HTTP Request,200,,Thread Group 1-12,text,true,,10187,134,464,464,http://35.223.214.30/yelpdata/elite/2010,4250,0,56
1620546762451,4039,HTTP Request,200,,Thread Group 1-137,text,true,,10187,134,463,463,http://35.223.214.30/yelpdata/elite/2010,4036,0,62
