timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1620504865941,25252,HTTP Request,200,,Thread Group 1-60,text,true,,229,216,500,500,http://34.71.253.86/yelpdata/elite/2010,25252,0,57
1620504865865,26564,HTTP Request,200,,Thread Group 1-23,text,true,,228,216,499,499,http://34.71.253.86/yelpdata/elite/2010,26564,0,59
1620504865830,26720,HTTP Request,200,,Thread Group 1-5,text,true,,228,216,498,498,http://34.71.253.86/yelpdata/elite/2010,26720,0,61
1620504865849,26701,HTTP Request,200,,Thread Group 1-12,text,true,,228,216,498,498,http://34.71.253.86/yelpdata/elite/2010,26701,0,59
1620504865953,26598,HTTP Request,200,,Thread Group 1-65,text,true,,228,216,496,496,http://34.71.253.86/yelpdata/elite/2010,26598,0,58
1620504865994,26558,HTTP Request,200,,Thread Group 1-86,text,true,,228,216,496,496,http://34.71.253.86/yelpdata/elite/2010,26558,0,53
1620504865859,26695,HTTP Request,200,,Thread Group 1-17,text,true,,228,216,494,494,http://34.71.253.86/yelpdata/elite/2010,26695,0,56
1620504865946,26660,HTTP Request,200,,Thread Group 1-62,text,true,,228,216,493,493,http://34.71.253.86/yelpdata/elite/2010,26660,0,51
1620504865828,26956,HTTP Request,200,,Thread Group 1-4,text,true,,228,216,492,492,http://34.71.253.86/yelpdata/elite/2010,26956,0,64
1620504865936,26862,HTTP Request,200,,Thread Group 1-57,text,true,,228,216,491,491,http://34.71.253.86/yelpdata/elite/2010,26862,0,53
1620504865870,26928,HTTP Request,200,,Thread Group 1-25,text,true,,228,216,491,491,http://34.71.253.86/yelpdata/elite/2010,26928,0,58
1620504865883,26972,HTTP Request,200,,Thread Group 1-30,text,true,,228,216,489,489,http://34.71.253.86/yelpdata/elite/2010,26972,0,58
1620504865865,27096,HTTP Request,200,,Thread Group 1-22,text,true,,228,216,488,488,http://34.71.253.86/yelpdata/elite/2010,27096,0,55
1620504865921,27043,HTTP Request,200,,Thread Group 1-50,text,true,,228,216,487,487,http://34.71.253.86/yelpdata/elite/2010,27043,0,59
1620504865947,27956,HTTP Request,200,,Thread Group 1-63,text,true,,228,216,486,486,http://34.71.253.86/yelpdata/elite/2010,27956,0,57
1620504865953,27953,HTTP Request,200,,Thread Group 1-66,text,true,,228,216,485,485,http://34.71.253.86/yelpdata/elite/2010,27953,0,58
1620504865904,28003,HTTP Request,200,,Thread Group 1-42,text,true,,228,216,484,484,http://34.71.253.86/yelpdata/elite/2010,28003,0,62
1620504865910,28081,HTTP Request,200,,Thread Group 1-44,text,true,,228,216,483,483,http://34.71.253.86/yelpdata/elite/2010,28081,0,63
1620504865894,28097,HTTP Request,200,,Thread Group 1-37,text,true,,228,216,483,483,http://34.71.253.86/yelpdata/elite/2010,28097,0,64
1620504865887,28107,HTTP Request,200,,Thread Group 1-32,text,true,,228,216,481,481,http://34.71.253.86/yelpdata/elite/2010,28107,0,58
1620504865968,28026,HTTP Request,200,,Thread Group 1-74,text,true,,228,216,481,481,http://34.71.253.86/yelpdata/elite/2010,28026,0,63
1620504865926,28452,HTTP Request,200,,Thread Group 1-53,text,true,,228,216,479,479,http://34.71.253.86/yelpdata/elite/2010,28452,0,56
1620504865833,28545,HTTP Request,200,,Thread Group 1-6,text,true,,228,216,479,479,http://34.71.253.86/yelpdata/elite/2010,28544,0,59
1620504865966,28412,HTTP Request,200,,Thread Group 1-72,text,true,,228,216,479,479,http://34.71.253.86/yelpdata/elite/2010,28411,0,59
1620504865938,28440,HTTP Request,200,,Thread Group 1-59,text,true,,228,216,479,479,http://34.71.253.86/yelpdata/elite/2010,28439,0,60
1620504865859,28519,HTTP Request,200,,Thread Group 1-18,text,true,,228,216,479,479,http://34.71.253.86/yelpdata/elite/2010,28519,0,56
1620504865992,28798,HTTP Request,200,,Thread Group 1-85,text,true,,228,216,474,474,http://34.71.253.86/yelpdata/elite/2010,28798,0,55
1620504865875,28915,HTTP Request,200,,Thread Group 1-26,text,true,,228,216,474,474,http://34.71.253.86/yelpdata/elite/2010,28915,0,53
1620504865865,28925,HTTP Request,200,,Thread Group 1-21,text,true,,228,216,474,474,http://34.71.253.86/yelpdata/elite/2010,28925,0,59
1620504865917,29170,HTTP Request,200,,Thread Group 1-48,text,true,,228,216,471,471,http://34.71.253.86/yelpdata/elite/2010,29170,0,63
1620504866038,29221,HTTP Request,200,,Thread Group 1-109,text,true,,228,216,470,470,http://34.71.253.86/yelpdata/elite/2010,29221,0,62
1620504865914,29345,HTTP Request,200,,Thread Group 1-46,text,true,,228,216,470,470,http://34.71.253.86/yelpdata/elite/2010,29345,0,66
1620504865852,29407,HTTP Request,200,,Thread Group 1-16,text,true,,228,216,470,470,http://34.71.253.86/yelpdata/elite/2010,29407,0,58
1620504865890,29369,HTTP Request,200,,Thread Group 1-33,text,true,,228,216,470,470,http://34.71.253.86/yelpdata/elite/2010,29369,0,61
1620504865892,29367,HTTP Request,200,,Thread Group 1-35,text,true,,228,216,470,470,http://34.71.253.86/yelpdata/elite/2010,29367,0,59
1620504865880,29379,HTTP Request,200,,Thread Group 1-28,text,true,,228,216,470,470,http://34.71.253.86/yelpdata/elite/2010,29379,0,60
1620504865883,29575,HTTP Request,200,,Thread Group 1-31,text,true,,228,216,464,464,http://34.71.253.86/yelpdata/elite/2010,29575,0,57
1620504866182,29276,HTTP Request,200,,Thread Group 1-181,text,true,,228,216,464,464,http://34.71.253.86/yelpdata/elite/2010,29276,0,65
1620504866629,28829,HTTP Request,200,,Thread Group 1-403,text,true,,228,216,464,464,http://34.71.253.86/yelpdata/elite/2010,28829,0,80
1620504866665,28793,HTTP Request,200,,Thread Group 1-421,text,true,,228,216,464,464,http://34.71.253.86/yelpdata/elite/2010,28793,0,68
1620504866154,29669,HTTP Request,200,,Thread Group 1-164,text,true,,228,216,460,460,http://34.71.253.86/yelpdata/elite/2010,29669,0,64
1620504866014,30342,HTTP Request,200,,Thread Group 1-97,text,true,,228,216,459,459,http://34.71.253.86/yelpdata/elite/2010,30342,0,58
1620504866639,29717,HTTP Request,200,,Thread Group 1-408,text,true,,228,216,459,459,http://34.71.253.86/yelpdata/elite/2010,29717,0,70
1620504865965,30391,HTTP Request,200,,Thread Group 1-71,text,true,,228,216,459,459,http://34.71.253.86/yelpdata/elite/2010,30391,0,54
1620504865922,30434,HTTP Request,200,,Thread Group 1-51,text,true,,228,216,459,459,http://34.71.253.86/yelpdata/elite/2010,30434,0,58
1620504865978,30378,HTTP Request,200,,Thread Group 1-77,text,true,,228,216,459,459,http://34.71.253.86/yelpdata/elite/2010,30378,0,57
1620504866799,29557,HTTP Request,200,,Thread Group 1-487,text,true,,228,216,459,459,http://34.71.253.86/yelpdata/elite/2010,29557,0,52
1620504865958,31303,HTTP Request,200,,Thread Group 1-67,text,true,,228,216,453,453,http://34.71.253.86/yelpdata/elite/2010,31303,0,61
1620504866037,31224,HTTP Request,200,,Thread Group 1-108,text,true,,228,216,453,453,http://34.71.253.86/yelpdata/elite/2010,31224,0,60
1620504865983,31278,HTTP Request,200,,Thread Group 1-79,text,true,,228,216,453,453,http://34.71.253.86/yelpdata/elite/2010,31278,0,59
1620504866707,30554,HTTP Request,200,,Thread Group 1-442,text,true,,228,216,453,453,http://34.71.253.86/yelpdata/elite/2010,30554,0,57
1620504865915,31346,HTTP Request,200,,Thread Group 1-47,text,true,,228,216,453,453,http://34.71.253.86/yelpdata/elite/2010,31346,0,65
1620504865882,31379,HTTP Request,200,,Thread Group 1-29,text,true,,228,216,453,453,http://34.71.253.86/yelpdata/elite/2010,31379,0,58
1620504866131,31130,HTTP Request,200,,Thread Group 1-155,text,true,,228,216,453,453,http://34.71.253.86/yelpdata/elite/2010,31130,0,64
1620504865988,31286,HTTP Request,200,,Thread Group 1-83,text,true,,228,216,446,446,http://34.71.253.86/yelpdata/elite/2010,31286,0,54
1620504865958,31316,HTTP Request,200,,Thread Group 1-69,text,true,,228,216,446,446,http://34.71.253.86/yelpdata/elite/2010,31316,0,60
1620504865968,31306,HTTP Request,200,,Thread Group 1-73,text,true,,228,216,446,446,http://34.71.253.86/yelpdata/elite/2010,31306,0,55
1620504866006,31268,HTTP Request,200,,Thread Group 1-93,text,true,,228,216,446,446,http://34.71.253.86/yelpdata/elite/2010,31268,0,60
