timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1620538342633,1725,HTTP Request,200,,Thread Group 1-8,text,true,,228,215,500,500,http://34.69.50.56/yelpdata/elite/2010,1725,0,59
1620538342620,1984,HTTP Request,200,,Thread Group 1-3,text,true,,228,215,499,499,http://34.69.50.56/yelpdata/elite/2010,1984,0,57
1620538342624,3183,HTTP Request,200,,Thread Group 1-5,text,true,,228,215,498,498,http://34.69.50.56/yelpdata/elite/2010,3183,0,55
1620538342626,3181,HTTP Request,200,,Thread Group 1-6,text,true,,228,215,498,498,http://34.69.50.56/yelpdata/elite/2010,3181,0,60
1620538342639,3168,HTTP Request,200,,Thread Group 1-11,text,true,,228,215,498,498,http://34.69.50.56/yelpdata/elite/2010,3168,0,57
1620538342629,3202,HTTP Request,200,,Thread Group 1-7,text,true,,228,215,495,495,http://34.69.50.56/yelpdata/elite/2010,3202,0,59
1620538342633,3206,HTTP Request,200,,Thread Group 1-9,text,true,,228,215,494,494,http://34.69.50.56/yelpdata/elite/2010,3206,0,59
1620538342649,3200,HTTP Request,200,,Thread Group 1-15,text,true,,228,215,493,493,http://34.69.50.56/yelpdata/elite/2010,3200,0,65
1620538342643,3234,HTTP Request,200,,Thread Group 1-14,text,true,,228,215,492,492,http://34.69.50.56/yelpdata/elite/2010,3234,0,62
1620538342622,3274,HTTP Request,200,,Thread Group 1-4,text,true,,228,215,491,491,http://34.69.50.56/yelpdata/elite/2010,3274,0,59
1620538342649,3247,HTTP Request,200,,Thread Group 1-16,text,true,,228,215,491,491,http://34.69.50.56/yelpdata/elite/2010,3247,0,65
1620538342653,3305,HTTP Request,200,,Thread Group 1-18,text,true,,228,215,489,489,http://34.69.50.56/yelpdata/elite/2010,3305,0,61
1620538342663,3326,HTTP Request,200,,Thread Group 1-24,text,true,,228,215,488,488,http://34.69.50.56/yelpdata/elite/2010,3326,0,63
1620538342642,3436,HTTP Request,200,,Thread Group 1-12,text,true,,228,215,487,487,http://34.69.50.56/yelpdata/elite/2010,3434,0,63
1620538342656,3459,HTTP Request,200,,Thread Group 1-19,text,true,,228,215,486,486,http://34.69.50.56/yelpdata/elite/2010,3459,0,58
1620538342707,3408,HTTP Request,200,,Thread Group 1-46,text,true,,228,215,486,486,http://34.69.50.56/yelpdata/elite/2010,3408,0,76
1620538342642,3473,HTTP Request,200,,Thread Group 1-13,text,true,,228,215,486,486,http://34.69.50.56/yelpdata/elite/2010,3473,0,63
1620538342786,5583,HTTP Request,200,,Thread Group 1-84,text,true,,228,215,483,483,http://34.69.50.56/yelpdata/elite/2010,5583,0,61
1620538342707,5868,HTTP Request,200,,Thread Group 1-45,text,true,,228,215,482,482,http://34.69.50.56/yelpdata/elite/2010,5868,0,76
1620538342733,5842,HTTP Request,200,,Thread Group 1-59,text,true,,228,215,482,482,http://34.69.50.56/yelpdata/elite/2010,5842,0,67
1620538342669,5906,HTTP Request,200,,Thread Group 1-26,text,true,,228,215,482,482,http://34.69.50.56/yelpdata/elite/2010,5906,0,57
1620538342702,5913,HTTP Request,200,,Thread Group 1-41,text,true,,228,215,479,479,http://34.69.50.56/yelpdata/elite/2010,5904,0,59
1620538342680,5935,HTTP Request,200,,Thread Group 1-30,text,true,,228,215,479,479,http://34.69.50.56/yelpdata/elite/2010,5926,0,61
1620538342675,5940,HTTP Request,200,,Thread Group 1-28,text,true,,228,215,479,479,http://34.69.50.56/yelpdata/elite/2010,5940,0,66
